ORIGIN,DEST,UNIQUE_CARRIER,ORIGIN_DEGREE,DEST_DEGREE,ORIGIN_NAME,ORIGIN_CITY,ORIGIN_IATA,ORIGIN_STATE,DEST_NAME,DEST_CITY,DEST_IATA,DEST_STATE
IAD,IAH,UA,24848,99268,Washington Dulles International Airport,Washington,IAD,VA,George Bush Intercontinental Houston Airport,Houston,IAH,TX
MSP,IAH,OO,106716,99268,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,MSP,MN,George Bush Intercontinental Houston Airport,Houston,IAH,TX
MSP,IAH,NK,106716,99268,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,MSP,MN,George Bush Intercontinental Houston Airport,Houston,IAH,TX
BOS,IAH,UA,82073,99268,General Edward Lawrence Logan International Airport,Boston,BOS,MA,George Bush Intercontinental Houston Airport,Houston,IAH,TX
TPA,IAH,UA,50072,99268,Tampa International Airport,Tampa,TPA,FL,George Bush Intercontinental Houston Airport,Houston,IAH,TX
TPA,IAH,NK,50072,99268,Tampa International Airport,Tampa,TPA,FL,George Bush Intercontinental Houston Airport,Houston,IAH,TX
MCO,IAH,UA,89682,99268,Orlando International Airport,Orlando,MCO,FL,George Bush Intercontinental Houston Airport,Houston,IAH,TX
BHM,IAH,EV,10543,99268,Birmingham-Shuttlesworth International Airport,Birmingham,BHM,AL,George Bush Intercontinental Houston Airport,Houston,IAH,TX
PDX,IAH,UA,43638,99268,Portland International Airport,Portland,PDX,OR,George Bush Intercontinental Houston Airport,Houston,IAH,TX
SMF,IAH,UA,32727,99268,Sacramento International Airport,Sacramento,SMF,CA,George Bush Intercontinental Houston Airport,Houston,IAH,TX
DEN,IAH,UA,168003,99268,Denver International Airport,Denver,DEN,CO,George Bush Intercontinental Houston Airport,Houston,IAH,TX
DEN,IAH,F9,168003,99268,Denver International Airport,Denver,DEN,CO,George Bush Intercontinental Houston Airport,Houston,IAH,TX
DEN,IAH,OO,168003,99268,Denver International Airport,Denver,DEN,CO,George Bush Intercontinental Houston Airport,Houston,IAH,TX
DEN,IAH,NK,168003,99268,Denver International Airport,Denver,DEN,CO,George Bush Intercontinental Houston Airport,Houston,IAH,TX
MKE,IAH,OO,25784,99268,General Mitchell International Airport,Milwaukee,MKE,WI,George Bush Intercontinental Houston Airport,Houston,IAH,TX
PHL,IAH,UA,45880,99268,Philadelphia International Airport,Philadelphia,PHL,PA,George Bush Intercontinental Houston Airport,Houston,IAH,TX
MCI,IAH,OO,34569,99268,Kansas City International Airport,Kansas City,MCI,MO,George Bush Intercontinental Houston Airport,Houston,IAH,TX
MCI,IAH,UA,34569,99268,Kansas City International Airport,Kansas City,MCI,MO,George Bush Intercontinental Houston Airport,Houston,IAH,TX
